username,acc,truth,top_n,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.3333333333333333,"['Adventure', 'Drama', 'Horror']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
adogsjourneymovie,0.6666666666666666,"['Adventure', 'Comedy', 'Drama']","['Drama', 'Thriller', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
aftermathmovie,0.3333333333333333,"['Drama', 'Romance', 'War']","['Thriller', 'Drama', 'Fantasy']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
aftermovie,0.5,"['Drama', 'Romance']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alitamovie,0.0,"['Action', 'Adventure', 'Sci-Fi']","['Thriller', 'Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
angelhasfallen,0.5,"['Action', 'Thriller']","['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
angrybirdsmovie,0.0,"['Adventure', 'Animation', 'Comedy']","['Drama', 'Western', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
annabellemovie,0.3333333333333333,"['Horror', 'Mystery', 'Thriller']","['Drama', 'Thriller', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
annamovie,0.0,"['Action', 'Thriller']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
apollo11movie,0.0,"['Documentary', 'History']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
arcticmovie,0.5,"['Adventure', 'Drama']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
artofracingmovie,0.6666666666666666,"['Comedy', 'Drama', 'Romance']","['Drama', 'Action', 'Comedy']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avengers,0.3333333333333333,"['Action', 'Adventure', 'Sci-Fi']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
beachbummovie,0.0,['Comedy'],['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bernadettefilm,0.6666666666666666,"['Comedy', 'Drama', 'Mystery']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blindedbythelightmovie,0.6666666666666666,"['Comedy', 'Drama', 'Music']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
booksmart,0.0,['Comedy'],['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
breakthroughmovie,0.5,"['Biography', 'Drama']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brianbanksmovie,0.3333333333333333,"['Biography', 'Drama', 'Sport']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brightburnmovie,0.0,"['Horror', 'Sci-Fi']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brittanyrunsmov,1.0,"['Comedy', 'Drama']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
captainmarvelofficial,0.3333333333333333,"['Action', 'Adventure', 'Sci-Fi']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
captivestatemovie,0.6666666666666666,"['Drama', 'Sci-Fi', 'Thriller']","['Drama', 'Thriller', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
childsplaymovie,0.0,['Horror'],['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clarathefilm,0.0,['Sci-Fi'],['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coldpursuitmovie,0.6666666666666666,"['Action', 'Crime', 'Drama']","['Drama', 'Action', 'Comedy']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
detectivepikachumovie,0.3333333333333333,"['Action', 'Adventure', 'Comedy']","['Drama', 'Comedy', 'Thriller']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
disneyaladdin,0.0,"['Adventure', 'Family', 'Fantasy']","['Drama', 'Comedy', 'Thriller']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
doramovie,0.0,"['Adventure', 'Family']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dumbo,0.0,"['Adventure', 'Family', 'Fantasy']","['Drama', 'Thriller', 'Biography']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
